==================== Evaluating with noise_std = 1.7 in Dataset 1 with random state = 5 ====================
ODS is enabled
mse 2.823955770248749
Splitting data into training and validation set
Not whitening the data...
Set parameter TokenServer to value "license1.computecanada.ca"
Read parameters from file gurobi.env
Set parameter MIPGap to value 0.05
Set parameter TimeLimit to value 18000
using QPBO:
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "AlmaLinux 9.3 (Shamrock Pampas Cat)")

CPU model: Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 32 physical cores, 32 logical processors, using up to 32 threads

Optimize a model with 72 rows, 216 columns and 216 nonzeros
Model fingerprint: 0x9f32eb83
Model has 7884 quadratic objective terms
Variable types: 0 continuous, 216 integer (216 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [4e-04, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 1903.2351577
Presolve time: 0.08s
Presolved: 72 rows, 216 columns, 216 nonzeros
Presolved model has 7884 quadratic objective terms
Variable types: 0 continuous, 216 integer (216 binary)
Found heuristic solution: objective 6230.1493349

Root relaxation: objective 1.026217e+04, 293 iterations, 0.03 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 2496450 1308107 7368.74091   47  124 7215.31461 8043.88418  11.5%   4.9  665s
 2519909 1319132     cutoff   45      7215.31461 8042.58386  11.5%   4.9  670s
 2539122 1326947 7754.69695   32  137 7215.31461 8041.62545  11.5%   4.8  675s
 2566406 1340276     cutoff   42      7215.31461 8040.01030  11.4%   4.8  680s
 2577844 1345928 7230.63988   41  129 7215.31461 8039.37052  11.4%   4.8  685s
 2601096 1357222 7269.18677   41  129 7215.31461 8038.00088  11.4%   4.8  690s
 2622421 1367388 7329.83810   41  140 7215.31461 8036.85013  11.4%   4.8  695s
 2651583 1380728 7606.93972   36  152 7215.31461 8035.18348  11.4%   4.8  700s
 2679225 1392717 7257.58096   35  136 7215.31461 8033.70291  11.3%   4.8  705s
 2705853 1406052 7229.49773   55   96 7215.31461 8032.19667  11.3%   4.8  710s
 2729386 1416153     cutoff   43      7215.31461 8030.93043  11.3%   4.8  715s
 2753829 1427297 7222.19088   46  128 7215.31461 8029.67185  11.3%   4.8  720s
 2777947 1438065 7847.24854   33  154 7215.31461 8028.46568  11.3%   4.8  725s
 2799983 1448601 7960.61630   37  147 7215.31461 8027.36951  11.3%   4.8  730s
 2823296 1459042     cutoff   35      7215.31461 8026.29385  11.2%   4.8  735s
 2850610 1471192 7762.65778   32  154 7215.31461 8024.88037  11.2%   4.8  740s
 2878948 1484883 7258.54398   34  158 7215.31461 8023.46182  11.2%   4.8  745s
 2907047 1497419 7732.64299   36  149 7215.31461 8022.08698  11.2%   4.8  750s
 2935132 1510935 7495.73658   46  119 7215.31461 8020.56199  11.2%   4.8  755s
 2961445 1523301 7938.79322   35  134 7215.31461 8019.31785  11.1%   4.8  760s
 2988144 1534793 7251.91250   47  106 7215.31461 8018.00703  11.1%   4.8  765s
 3016402 1547542 7361.15440   42  134 7215.31461 8016.59059  11.1%   4.8  770s
 3044506 1560100 7220.65632   44  139 7215.31461 8015.33445  11.1%   4.8  775s
 3071972 1572474 7423.96574   42  130 7215.31461 8013.97235  11.1%   4.8  780s
 3100594 1585545 7386.90657   36  148 7215.31461 8012.62804  11.1%   4.8  785s
 3128769 1597494 7862.61680   37  137 7215.31461 8011.31705  11.0%   4.8  790s
 3153071 1608608 7482.57568   39  136 7215.31461 8010.20417  11.0%   4.8  795s
 3169127 1616602 7679.10593   38  145 7215.31461 8009.49686  11.0%   4.8  800s
